,news_url,title,no_of_retweets,label
0,news.bbc.co.uk,Charlie Hebdo became well known for publishing the Muhammed cartoons two years ago,202,0
1,order-order.com,Charlie Hebdo’s Last Tweet Before Shootings http://t.co/9Oa2xAqOcM http://t.co/skJHNEQcn0,144,0
2,breitbart.com/Columnists/Jam…,Prediction: the #CharlieHebdo massacre will not dent the political class's complacency one iota,103,0
3,order-order.com,"10:28am Charlie Hebdo account mocks ISIS leader, wishing him ""good health and best wishes"" http://t.co/9Oa2xAqOcM http://t.co/uYXayKLA7q",116,0
4,demos.co.uk/people/max_win…,"If your faith isn't strong enough to cope with satirical poke, it oughtn't be strong enough to induce you to kill. Barbaric #CharlieHebdo",105,0
5,devries.fr,Just arrived at scene of massacre #Paris #charliehebdo http://t.co/bxDwfuqRz8,167,0
6,f24.my/obs,Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/lzQdhJ6kxR,398,0
7,france24.com,Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/k6inhBmGsf,112,0
8,order-order.com,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",4174,0
9,RT.com,'It's a massacre. There are dead!' employee of Charlie Hebdo tells French media outlet before call disconnects http://t.co/Q27XnP3AS3,115,0
10,secularism.org.uk,If religion — any religion — is off-limits for open debate we are in a very dangerous situation. #Freedomofexpression #CharlieHebdo,158,0
11,dailymail.co.uk,French newspaper Charlie Hebdo's last tweet before gunmen attack http://t.co/vsjId0EWRk http://t.co/yJhgbhIXQ6,213,0
12,spiegel.de,"Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan"" http://t.co/G7zbitA3Cj",133,0
13,spectator.co.uk/alexmassie,#CharlieHebdo. That is all. http://t.co/9zzpYZcAJ8,627,0
14,homoeconomicusnet.wordpress.com,"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u",493,0
15,jacobinism.blogspot.co.uk,Solidarity with Charlie Hebdo. http://t.co/gvLp0NwLax,334,0
16,sverigesradio.se/sida/gruppsida…,"Charlie Hebdo's Nov 2011 CHARIA HEBDO ""guest-edited"" by Muhammad:""100 lashes of the whip if you don't die laughing."" http://t.co/5EzG448CNm",303,0
17,foreignpolicy.com,"Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying ""and especially, health!"" (New Year's greeting) http://t.co/UMEWDeR6z4",217,0
18,su-se.academia.edu/ChristianChris…,"If the #CharlieHebdo killings are what many think they are, there are dark days ahead for #France and Europe. Everyone will lose.",127,0
19,konbini.com,"""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT",584,0
20,independent.co.uk,Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC,127,0
21,andrewmueller.net,"Anybody who wants to talk about what Charlie Hebdo might have done to ""provoke"" this should probably shut up, forever.",348,0
22,karlremarks.com/2014/02/a-shor…,Cowardly attack on Charlie Hebdo's offices. The humourless fanatics can fuck off. Freedom of speech is more important than your feelings.,574,0
23,theintercept.com,The Guardian has live coverage of the Paris shooting at Charlie Hebdo  http://t.co/M27vO7xFIk,181,0
24,gov.uk/fco,Appalled to hear news of apparent terrorist attack in Paris. My thoughts are with the family and friends of those killed.,300,0
25,indexoncensorship.org,"#Freespeech is a non-negotiable human right. We condemn the appalling attack on Charlie Hebdo, and any attempt to silence the free press.",186,0
26,thetimes.co.uk/tto/public/pro…,"More Charlie Hebdo covers, including ""the life of Mohamed"". These are people willing to kill over a cartoon. http://t.co/VAEnDpBYSu",268,0
27,reported.ly,Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad http://t.co/0wAINRJ1Z7,144,0
28,bbc.co.uk/news,"Paris on maximum alert after #CharlieHebdo attack, officials say as President Hollande arrives at scene http://t.co/MmxR2nmi5R",696,0
29,skynews.com,Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run http://t.co/xcK8lY9IeR http://t.co/tQuxQ06Q7f,247,0
30,rtlnieuws.nl,"'...but I will to the death defend your right to say it'.

#charliehebdo
#voltaire http://t.co/oFEHT8Xx3v",307,0
31,RT.com,VIDEO from the scene of fatal shooting in Paris http://t.co/sL3aG464Lt #CharlieHebdo http://t.co/FLC3mR5C2S,203,0
32,euronews.com,French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack. http://t.co/Rve1Lp0EXf http://t.co/8LFA5LFSnS,130,0
33,RT.com,DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande http://t.co/3Jsosc7yl3 http://t.co/Lvv3J8o6e8,133,0
34,facebook.com/jenan.moussa.5,Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near #CharlieHebdo offices: http://t.co/eBpt190LD0,107,0
35,mohammedamin.com,"We don't know who carried out Charlie Hebdo attack. However if they were Muslims, then they are the enemies of me and most other Muslims.",483,0
36,bradleyjane.wordpress.com,#CharlieHebdo: Love is stronger than hate. http://t.co/23KHz2OsH3,485,0
37,instagram.com/afpphoto,#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP http://t.co/ZK41w7J7yc,179,0
38,ivo.co.za,Spread this cover in solidarity with the victims at Charlie Hebdo. Don't let the sword conquer the pen. http://t.co/XVkPPbkLhn,165,0
39,alexstubb.com,We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,240,0
40,facebook.com/russianmarket.…,Video of #terrorists attacking Charlie Hebdo HQ in Paris http://t.co/SdniwkJtT1 http://t.co/z6O8IhNjCk,106,0
41,simonnricketts.tumblr.com,"Six days after Charlie Hebdo’s offices were firebombed, their front cover was this. “Love is stronger than hate.” http://t.co/7YInU4Cc00",895,0
42,cnn.com/international,BREAKING: French government raises security alert to highest level after deadly attack at magazine Charlie Hebdo. http://t.co/ak9mTVfJdR,236,0
